name,ticker,isin,weight,sector,area,country/region,scope1_direct,scope2_location,scope2_market
NVIDIA CORP,NVDA,US67066G1040,4.34,Information Technology,North America,United States,14.39,40.555,178.087
APPLE INC,AAPL,US0378331005,4.22,Information Technology,North America,United States,55.2,3.4,1206.7
MICROSOFT CORP,MSFT,US5949181045,3.89,Information Technology,North America,United States,144.96,393.134,8077.4
AMAZON COM INC,AMZN,US0231351067,2.76,Consumer Discretionary,North America,United States,14270.0,2790.0,12768.0
META PLATFORMS INC CLASS A,META,US30303M1027,1.75,Communication,North America,United States,48.952,1.658,5141.35
ALPHABET INC CLASS A,GOOGL,US02079K3059,1.46,Communication,North America,United States,79.4,3423.4,9252.9
TESLA INC,TSLA,US88160R1014,1.45,Consumer Discretionary,North America,United States,211.0,,466.0
BROADCOM INC,AVGO,US11135F1012,1.34,Information Technology,North America,United States,58.764,140.005,186.061
ALPHABET INC CLASS C,GOOG,US02079K1079,1.25,Communication,North America,United States,79.4,3423.4,9252.9
TAIWAN SEMICONDUCTOR MANUFACTURING,2330,TW0002330008,1.06,Information Technology,Asia Pacific (Developed),Taiwan,1596.03,10187.4,11466.1
JPMORGAN CHASE & CO,JPM,US46625H1005,0.95,Financials,North America,United States,115.294,3.642,792.479
ELI LILLY,LLY,US5324571083,0.79,Health Care,North America,United States,182.0,345.0,406.0
BERKSHIRE HATHAWAY INC CLASS B,BRKB,US0846707026,0.76,Financials,North America,United States,,,
VISA INC CLASS A,V,US92826C8394,0.68,Financials,North America,United States,10.6,0.3,67.2
UNITEDHEALTH GROUP INC,UNH,US91324P1021,0.61,Health Care,North America,United States,139.361,413.101,413.101
EXXON MOBIL CORP,XOM,US30231G1022,0.6,Energy,North America,United States,94000.0,6000.0,7000.0
MASTERCARD INC CLASS A,MA,US57636Q1040,0.54,Financials,North America,United States,3.556,0.463,48.498
NETFLIX INC,NFLX,US64110L1061,0.52,Communication,North America,United States,25.79,0.0,30.303
WALMART INC,WMT,US9311421039,0.52,Consumer Staples,North America,United States,7880.87,6740.04,9981.54
COSTCO WHOLESALE CORP,COST,US22160K1051,0.52,Consumer Staples,North America,United States,1405.64,1375.18,1425.98
HOME DEPOT INC,HD,US4370761029,0.51,Consumer Discretionary,North America,United States,628.0,733.8,1033.0
PROCTER & GAMBLE,PG,US7427181091,0.48,Consumer Staples,North America,United States,2123.1,130.0,2275.0
JOHNSON & JOHNSON,JNJ,US4781601046,0.44,Health Care,North America,United States,320.104,122.776,467.934
TENCENT HOLDINGS LTD,700,KYG875721634,0.41,Communication,Asia Pacific (Emerging),China,275.374,2561.33,2922.09
BANK OF AMERICA CORP,BAC,US0605051046,0.41,Financials,North America,United States,68.05,17.736,610.013
SALESFORCE INC,CRM,US79466L3024,0.4,Information Technology,North America,United States,3.0,75.0,315.0
ORACLE CORP,ORCL,US68389X1054,0.38,Information Technology,North America,United States,10.237,262.339,787.719
ABBVIE INC,ABBV,US00287Y1091,0.37,Health Care,North America,United States,328.259,131.232,237.714
ASML HOLDING NV,ASML,NL0010273215,0.37,Information Technology,Western Europe,Netherlands,19.2,15.9,168.1
SAP,SAP,DE0007164600,0.36,Information Technology,Western Europe,Germany,112.8,1.3,128.6
NOVO NORDISK CLASS B,NOVO B,DK0062498333,0.35,Health Care,Western Europe,Denmark,78.0,15.0,138.215
CHEVRON CORP,CVX,US1667641005,0.33,Energy,North America,United States,52000.0,1000.0,2000.0
WELLS FARGO,WFC,US9497461015,0.33,Financials,North America,United States,82.41,3.633,558.616
COCA-COLA,KO,US1912161007,0.31,Consumer Staples,North America,United States,503.287,728.596,844.848
CISCO SYSTEMS INC,CSCO,US17275R1023,0.31,Information Technology,North America,United States,40.402,81.711,568.141
MERCK & CO INC,MRK,US58933Y1055,0.3,Health Care,North America,United States,718.4,184.2,356.9
SERVICENOW INC,NOW,US81762P1021,0.29,Information Technology,North America,United States,2.43,0.712,54.979
ACCENTURE PLC CLASS A,ACN,IE00B4BNMY34,0.28,Information Technology,Western Europe,Ireland,22.395,3.584,180.51
THERMO FISHER SCIENTIFIC INC,TMO,US8835561023,0.27,Health Care,North America,United States,331.463,229.11,427.904
ABBOTT LABORATORIES,ABT,US0028241000,0.27,Health Care,North America,United States,510.0,407.0,471.0
NESTLE SA,NESN,CH0038863350,0.27,Consumer Staples,Western Europe,Switzerland,3160.0,310.0,2612.73
GE AEROSPACE,GE,US3696043013,0.27,Industrials,North America,United States,294.537,434.056,441.385
ROCHE HOLDING PAR AG,ROG,CH0012032048,0.27,Health Care,Western Europe,Switzerland,240.61,98.82,334.155
LVMH,MC,FR0000121014,0.26,Consumer Discretionary,Western Europe,France,126.532,262.024,90.551
ASTRAZENECA PLC,AZN,GB0009895292,0.26,Health Care,Western Europe,United Kingdom,180.898,19.94,183.332
LINDE PLC,LIN,IE000S9YS762,0.26,Materials,North America,United States,16582.0,21562.0,20700.0
INTUITIVE SURGICAL INC,ISRG,US46120E6023,0.26,Health Care,North America,United States,7.045,,21.338
INTERNATIONAL BUSINESS MACHINES CO,IBM,US4592001014,0.25,Information Technology,North America,United States,71.0,150.0,306.0
SHELL PLC,SHEL,GB00BP6MXD84,0.25,Energy,Western Europe,United Kingdom,50000.0,7000.0,8000.0
MCDONALDS CORP,MCD,US5801351017,0.25,Consumer Discretionary,North America,United States,100.264,224.964,224.964
GOLDMAN SACHS GROUP INC,GS,US38141G1040,0.25,Financials,North America,United States,13.842,9.252,155.105
WALT DISNEY,DIS,US2546871060,0.25,Communication,North America,United States,993.347,727.414,782.066
PEPSICO INC,PEP,US7134481081,0.25,Consumer Staples,North America,United States,3481.53,750.058,1834.31
ADVANCED MICRO DEVICES INC,AMD,US0079031078,0.25,Information Technology,North America,United States,10.008,36.597,80.839
CATERPILLAR INC,CAT,US1491231015,0.25,Industrials,North America,United States,690.0,750.0,810.0
NOVARTIS AG,NOVN,CH0012005267,0.25,Health Care,Western Europe,Switzerland,248.7,49.4,200.8
PHILIP MORRIS INTERNATIONAL INC,PM,US7181721090,0.24,Consumer Staples,North America,United States,316.652,56.582,56.582
QUALCOMM INC,QCOM,US7475251036,0.24,Information Technology,North America,United States,80.589,157.293,286.357
ADOBE INC,ADBE,US00724F1012,0.24,Information Technology,North America,United States,7.649,22.95,62.662
TOYOTA MOTOR CORP,7203,JP3633400001,0.24,Consumer Discretionary,Asia Pacific (Developed),Japan,2370.0,2870.0,3810.0
HSBC HOLDINGS PLC,HSBA,GB0005405286,0.23,Financials,Western Europe,United Kingdom,16.918,167.174,331.56
AMERICAN EXPRESS,AXP,US0258161092,0.23,Financials,North America,United States,28.952,2.269,93.687
SAMSUNG ELECTRONICS LTD,5930,KR7005930003,0.22,Information Technology,Asia Pacific (Developed),South Korea,,,
ALIBABA GROUP HOLDING LTD,9988,KYG017191142,0.22,Consumer Discretionary,Asia Pacific (Emerging),China,718.491,3732.07,6022.01
ROYAL BANK OF CANADA,RY,CA7800871021,0.22,Financials,North America,Canada,23.873,0.0,63.713
MORGAN STANLEY,MS,US6174464486,0.21,Financials,North America,United States,24.201,31.804,229.954
TEXAS INSTRUMENT INC,TXN,US8825081040,0.21,Information Technology,North America,United States,1120.0,1100.0,1390.0
INTUIT INC,INTU,US4612021034,0.21,Information Technology,North America,United States,4.68,0.0,15.967
RTX CORP,RTX,US75513E1010,0.21,Industrials,North America,United States,532.402,920.882,939.441
COMMONWEALTH BANK OF AUSTRALIA,CBA,AU000000CBA7,0.21,Financials,Asia Pacific (Developed),Australia,7.258,0.033,63.609
SIEMENS N AG,SIE,DE0007236101,0.21,Industrials,Western Europe,Germany,347.0,94.0,667.0
VERIZON COMMUNICATIONS INC,VZ,US92343V1044,0.21,Communication,North America,United States,269.333,2195.51,3511.08
S&P GLOBAL INC,SPGI,US78409V1044,0.2,Financials,North America,United States,1.983,17.505,24.13
AT&T INC,T,US00206R1023,0.2,Communication,North America,United States,917.036,3861.16,4962.52
BOOKING HOLDINGS INC,BKNG,US09857L1089,0.2,Consumer Discretionary,North America,United States,3.785,,0.162
PALANTIR TECHNOLOGIES INC CLASS A,PLTR,US69608A1088,0.2,Information Technology,North America,United States,0.183,1.823,2.01
DANAHER CORP,DHR,US2358511028,0.2,Health Care,North America,United States,108.279,126.916,195.664
CITIGROUP INC,C,US1729674242,0.19,Financials,North America,United States,46.582,28.927,450.771
APPLIED MATERIAL INC,AMAT,US0382221051,0.19,Information Technology,North America,United States,49.053,67.661,170.299
SCHNEIDER ELECTRIC,SU,FR0000121972,0.19,Industrials,Western Europe,France,112.792,89.44,395.03
BOSTON SCIENTIFIC CORP,BSX,US1011371077,0.19,Health Care,North America,United States,82.704,19.817,101.626
BLACKROCK INC,BLK,US09290D1019,0.19,Financials,North America,United States,6.689,1.568,23.5
UNION PACIFIC CORP,UNP,US9078181081,0.19,Industrials,North America,United States,9156.53,235.705,215.799
LOWES COMPANIES INC,LOW,US5486611073,0.19,Consumer Discretionary,North America,United States,436.905,931.744,1024.72
NEXTERA ENERGY INC,NEE,US65339F1012,0.19,Utilities,North America,United States,42278.602,16.3,15.879
PFIZER INC,PFE,US7170811035,0.18,Health Care,North America,United States,620.124,486.384,500.077
