Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,CUSIP,ISIN,SEDOL,Accrual Date
APPLE INC,Information Technology,Equity,"$943,994,751.32 ",$4.92 ,"943,994,751.32","3,769,646.00","37,833,100.00",US0378331005,2046251,-,
NVDA,NVIDIA CORP,Information Technology,Equity,"$814,118,218.81 ",4.24,"814,118,218.81","6,062,389.00",67066G104,US67066G1040,2379504,-
MSFT,MICROSOFT CORP,Information Technology,Equity,"$734,885,671.50 ",3.83,"734,885,671.50","1,743,501.00",594918104,US5949181045,2588173,-
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"$513,919,100.49 ",2.68,"513,919,100.49","2,342,491.00",23135106,US0231351067,2000019,-
META,META PLATFORMS INC CLASS A,Communication,Equity,"$316,053,028.41 ",1.65,"316,053,028.41","539,791.00",30303M102,US30303M1027,B7TL820,-
TSLA,TESLA INC,Consumer Discretionary,Equity,"$286,829,379.20 ",1.49,"286,829,379.20","710,255.00",88160R101,US88160R1014,B616C79,-
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"$275,265,294.60 ",1.43,"275,265,294.60","1,454,122.00",02079K305,US02079K3059,BYVY8G0,-
AVGO,BROADCOM INC,Information Technology,Equity,"$253,705,757.76 ",1.32,"253,705,757.76","1,094,314.00",11135F101,US11135F1012,BDZ78H9,-
GOOG,ALPHABET INC CLASS C,Communication,Equity,"$235,073,803.68 ",1.22,"235,073,803.68","1,234,372.00",02079K107,US02079K1079,BYY88Y7,-
2330,TAIWAN SEMICONDUCTOR MANUFACTURING,Information Technology,Equity,"$198,903,445.23 ",1.04,"198,903,445.23","6,066,000.00",S68891068,TW0002330008,6889106,10-Nov-94
JPM,JPMORGAN CHASE & CO,Financials,Equity,"$170,502,606.77 ",0.89,"170,502,606.77","711,287.00",46625H100,US46625H1005,2190385,-
LLY,ELI LILLY,Health Care,Equity,"$154,217,036.00 ",0.8,"154,217,036.00","199,763.00",532457108,US5324571083,2516152,-
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"$147,969,176.48 ",0.77,"147,969,176.48","326,441.00",84670702,US0846707026,2073390,-
V,VISA INC CLASS A,Financials,Equity,"$130,276,428.60 ",0.68,"130,276,428.60","412,215.00",92826C839,US92826C8394,B2PZN04,-
XOM,EXXON MOBIL CORP,Energy,Equity,"$117,717,078.10 ",0.61,"117,717,078.10","1,094,330.00",30231G102,US30231G1022,2326618,-
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"$115,279,929.54 ",0.6,"115,279,929.54","227,889.00",91324P102,US91324P1021,2917766,-
MA,MASTERCARD INC CLASS A,Financials,Equity,"$106,539,328.39 ",0.56,"106,539,328.39","202,327.00",57636Q104,US57636Q1040,B121557,-
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,"$100,465,340.42 ",0.52,"100,465,340.42","109,646.00",22160K105,US22160K1051,2701271,-
WMT,WALMART INC,Consumer Staples,Equity,"$98,713,789.85 ",0.51,"98,713,789.85","1,092,571.00",931142103,US9311421039,2936921,-
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"$96,786,859.75 ",0.5,"96,786,859.75","577,315.00",742718109,US7427181091,2704407,-
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"$95,517,661.47 ",0.5,"95,517,661.47","245,553.00",437076102,US4370761029,2434209,-
NFLX,NETFLIX INC,Communication,Equity,"$94,736,620.16 ",0.49,"94,736,620.16","106,288.00",64110L106,US64110L1061,2857817,-
700,TENCENT HOLDINGS LTD,Communication,Equity,"$86,707,355.22 ",0.45,"86,707,355.22","1,615,200.00",-,KYG875721634,BMMV2K8,-
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"$85,552,419.54 ",0.45,"85,552,419.54","591,567.00",478160104,US4781601046,2475833,-
CRM,SALESFORCE INC,Information Technology,Equity,"$79,075,731.60 ",0.41,"79,075,731.60","236,520.00",79466L302,US79466L3024,2310525,-
ABBV,ABBVIE INC,Health Care,Equity,"$77,625,579.50 ",0.4,"77,625,579.50","436,835.00",00287Y109,US00287Y1091,B92SR70,-
BAC,BANK OF AMERICA CORP,Financials,Equity,"$76,497,040.65 ",0.4,"76,497,040.65","1,740,547.00",60505104,US0605051046,2295677,-
ASML,ASML HOLDING NV,Information Technology,Equity,"$69,393,161.96 ",0.36,"69,393,161.96","98,739.00",-,NL0010273215,B929F46,-
NOVO B,NOVO NORDISK CLASS B,Health Care,Equity,"$69,268,379.58 ",0.36,"69,268,379.58","799,172.00",-,DK0062498333,BP6KMJ1,-
ORCL,ORACLE CORP,Information Technology,Equity,"$68,235,580.56 ",0.36,"68,235,580.56","409,479.00",68389X105,US68389X1054,2661568,-
SAP,SAP,Information Technology,Equity,"$63,092,234.34 ",0.33,"63,092,234.34","257,847.00",S48462881,DE0007164600,4846288,-
KO,COCA-COLA,Consumer Staples,Equity,"$62,601,745.14 ",0.33,"62,601,745.14","1,005,489.00",191216100,US1912161007,2206657,-
MRK,MERCK & CO INC,Health Care,Equity,"$62,195,890.80 ",0.32,"62,195,890.80","625,210.00",58933Y105,US58933Y1055,2778844,-
CVX,CHEVRON CORP,Energy,Equity,"$61,949,516.40 ",0.32,"61,949,516.40","427,710.00",166764100,US1667641005,2838555,-
WFC,WELLS FARGO,Financials,Equity,"$59,124,590.24 ",0.31,"59,124,590.24","841,751.00",949746101,US9497461015,2649100,-
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,"$58,355,156.80 ",0.3,"58,355,156.80","985,729.00",17275R102,US17275R1023,2198163,-
NOW,SERVICENOW INC,Information Technology,Equity,"$54,353,412.52 ",0.28,"54,353,412.52","51,271.00",81762P102,US81762P1021,B80NXX8,-
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"$54,201,692.46 ",0.28,"54,201,692.46","154,074.00",G1151C101,IE00B4BNMY34,B4BNMY3,-
NESN,NESTLE SA,Consumer Staples,Equity,"$53,353,476.94 ",0.28,"53,353,476.94","645,721.00",S71238703,CH0038863350,7123870,-
MCD,MCDONALDS CORP,Consumer Discretionary,Equity,"$51,017,741.10 ",0.27,"51,017,741.10","175,990.00",580135101,US5801351017,2550707,-
PEP,PEPSICO INC,Consumer Staples,Equity,"$50,978,419.12 ",0.27,"50,978,419.12","335,252.00",713448108,US7134481081,2681511,-
7203,TOYOTA MOTOR CORP,Consumer Discretionary,Equity,"$50,675,101.81 ",0.26,"50,675,101.81","2,531,500.00",S69006435,JP3633400001,6900643,-
DIS,WALT DISNEY,Communication,Equity,"$49,732,584.55 ",0.26,"49,732,584.55","446,633.00",254687106,US2546871060,2270726,-
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,Equity,"$49,650,583.97 ",0.26,"49,650,583.97","225,859.00",459200101,US4592001014,2005973,-
AZN,ASTRAZENECA PLC,Health Care,Equity,"$49,398,550.91 ",0.26,"49,398,550.91","376,797.00",S09895293,GB0009895292,989529,-
LIN,LINDE PLC,Materials,Equity,"$49,325,606.05 ",0.26,"49,325,606.05","117,815.00",-,IE000S9YS762,BNZHB81,-
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,"$49,123,758.21 ",0.26,"49,123,758.21","94,427.00",883556102,US8835561023,2886907,-
